[-1246.28, 8.82796, -20.2116, -22.0843, 5.04544, 24.5815, 11.3032, -15.8207, -20.842, 1.12934, 19.7776, 11.6745, -10.1921]
[-1198.19, 21.0474, -75.0041, -48.8548, 32.8588, 53.8483, 16.2947, -31.1019, -46.7374, -2.37357, 49.6324, 27.5343, -31.5519]
[-1176.61, 32.8482, -86.5202, -55.1526, 39.0254, 60.574, 20.3645, -33.5328, -59.252, -11.8727, 51.8458, 28.6322, -36.7286]
[-1150.19, 38.6012, -109.498, -60.1539, 44.3216, 58.128, 17.6758, -31.3412, -54.6177, -10.0447, 50.1766, 28.7529, -32.8972]
[-1145.31, 36.732, -119.764, -64.3271, 46.3303, 61.5128, 23.6732, -25.4546, -52.6935, -14.4878, 42.1585, 29.5115, -27.2029]
[-1140.49, 40.7936, -107.378, -56.5231, 42.871, 68.3856, 22.7584, -35.2956, -53.7691, -5.94474, 53.1779, 29.8002, -32.7057]
[-1118.12, 53.2355, -105.27, -55.6924, 35.4576, 69.7904, 26.1107, -28.7654, -52.1102, -16.7001, 53.288, 31.9308, -31.5579]
[-1103.43, 64.1925, -107.029, -50.3028, 38.5593, 66.3837, 31.5993, -33.2005, -52.1896, -7.87309, 46.6261, 31.0838, -28.4142]
[-1091.48, 57.6563, -115.701, -50.3202, 39.7018, 76.1475, 26.2891, -28.3431, -44.7848, -11.0103, 52.8359, 29.2325, -31.7702]
[-1079.13, 69.0939, -113.732, -51.7322, 29.5045, 62.1944, 24.2187, -31.8508, -53.93, -8.32095, 58.8946, 31.5529, -24.2194]
[-1083.94, 61.3052, -120.131, -59.7299, 24.2953, 60.1269, 15.4077, -31.7106, -46.9741, -14.217, 57.8225, 50.8812, -7.79407]
[-1093.7, 60.4407, -128.248, -64.0743, 39.4791, 65.7496, 28.5008, -21.2922, -51.9005, -23.8798, 41.6669, 33.287, -22.5966]
[-1104.92, 48.872, -124.457, -71.3299, 25.4346, 72.8566, 23.6637, -29.0083, -50.8092, -23.7477, 53.5295, 35.3666, -29.7836]
[-1102.91, 47.3385, -125.62, -61.3742, 26.0168, 63.0646, 32.5096, -30.2873, -60.3148, -17.8079, 46.6743, 33.5777, -28.0322]
[-1107.73, 60.0228, -114.435, -68.9526, 25.6868, 51.5105, 11.306, -37.2483, -61.6223, -18.3908, 50.3294, 40.7364, -21.1655]
[-1106.29, 57.2225, -113.823, -61.2898, 31.7521, 64.2813, 22.6408, -30.6529, -55.9028, -16.7339, 50.5708, 30.2302, -17.8769]
[-1101.75, 59.5175, -116.928, -58.8474, 38.4293, 61.8602, 15.5778, -36.0012, -52.9701, -17.8643, 45.6824, 39.5259, -15.0153]
[-1100.62, 59.9057, -120.318, -68.3807, 31.0823, 69.644, 27.7378, -29.1553, -50.0891, -16.0447, 45.3613, 36.2121, -15.0411]
[-1075.53, 72.452, -125.219, -65.2632, 34.2359, 64.3772, 20.7185, -20.883, -38.1553, -13.3005, 46.3169, 33.6911, -19.0945]
[-1093.93, 68.5888, -109.064, -67.1909, 25.7021, 69.1112, 21.3721, -34.5926, -55.8117, -17.4576, 48.1771, 31.5576, -18.0069]
[-1091.52, 65.5932, -115.892, -56.2652, 31.0419, 60.8715, 24.4308, -43.1783, -62.5438, -16.2031, 43.5381, 41.3868, -12.6334]
